آندورا,1
امارات متحده عربی,1
امارات متحده‌ی عربی,1
امارات متحده ی عربی,1
افغانستان,1
آنتیگوا,1
باربودا,1
آنگویلا,1
آلبانی,1
ارمنستان,1
آنگولا,1
جنوبگان,1
آرژانتین,0
ساموآی آمریکا,1
اتریش,1
استرالیا,1
آروبا,1
جزایر آلند,1
جمهوری آذربایجان,1
بوسنی و هرزگوین,1
باربادوس,1
بنگلادش,1
بلژیک,1
بورکینا فاسو,1
بلغارستان,1
بحرین,1
بوروندی,1
بنین,1
سنت بارثلمی,1
برمودا,1
برونئی,1
بولیوی,1
هلند کارائیب,1
برزیل,1
باهاما,1
بوتان,0
جزیره بووه,1
بوتسوانا,1
بلاروس,1
بلیزکاناداجزایر کوکوس,1
جمهوری دموکراتیک کنگو,1
جمهوری آفریقای مرکزی,1
جمهوری کنگو,1
سوئیس,1
ساحل عاج,1
جزایر کوک,1
شیلی,1
کامرون,1
چین,0
کلمبیا,1
کاستاریکا,1
کوبا,1
کیپ ورد,1
کوراسائو,1
جزیره کریسمس,1
قبرس,1
جمهوری چک,1
آلمان,1
جیبوتی,1
دانمارک,1
دومینیکا,1
دومینیکا,1
الجزایر,1
اکوادور,1
استونی,1
مصر,0
صحرای غربی,1
اریتره,1
اسپانیا,1
اتیوپی,1
فنلاند,1
فیجی,1
جزایر فالکلند,1
ایالات فدرال میکرونزی,1
جزایر فارو,1
فرانسه,1
گابن,1
انگلستان,1
انگلیس,1
گرانادا,1
گرجستان,1
گویان,1
فرانسه,0
گرنزی,1
غنا,1
جبل الطارق,1
گرینلند,1
گامبیا,1
گینه,1
جزیره گوادلوپ,1
گینه استوایی,1
یونان,1
جزایر جورجیای جنوبی و ساندویچ جنوبی,1
گواتمالا,1
گوام,1
گینه بیسائو,1
گویان,1
هنگ کنگ,1
جزیره هرد و جزایر مک دونالد,1
هندوراس,1
کرواسی,1
هائیتی,1
مجارستان,1
اندونزی,1
جمهوری ایرلند,1
جزیره منهند,1
قلمروی ,1
اقیانوس هند بریتانیا,1
عراق,1
ایران,1
ایسلند,1
ایتالیا,1
جامائیکا,1
اردن,1
ژاپن,1
کنیا,1
قرقیزستان,1
کامبوج,1
کیریباتی,1
کومور,1
سنت کیتس و نویس,1
کره شمالی,1
کره ی شمالی,1
کره جنوبی,1
کره ی جنوبی,1
کویت,1
جزایر کیمن,1
قزاقستان,1
لائوس,1
لبنان,1
سنت لوسیا,1
لیختن اشتاین,1
سری لانکا,1
لیبریا,1
لسوتو,1
لیتوانی,1
لوکزامبورگ,1
لتونی,1
لیبی,1
مراکش,1
موناکو,1
مولداوی,1
مونته نگرو,1
سنت مارتین فرانسه,1
ماداگاسکار,1
جزایر مارشال,1
جمهوری مقدونیه,1
مالی,0
میانمار,1
مغولستان,1
ماکائو,1
جزایر ماریانای شمالی,1
مارتینیک,1
موریتانی,1
مونتسرات,1
مالت,0
موریس,1
مالدیو,1
مالاوی,1
مکزیک,1
مالزی,1
موزامبیک,1
نامیبیا,1
کالدونیای جدید,1
نیجر,1
جزیره نورفولک,1
نیجریه,1
نیکاراگوئه,1
هلند,1
نروژ,1
نپال,1
نائورو,1
نیوئه,1
نیوزلند,1
عمان,1
پاناما,1
پرو,1
پلینزی فرانسه,1
پاپوآ گینه نو,1
فیلیپین,1
پاکستانلهستان,1
سنت پیر و ماژلان,1
جزایر پیت کرن,1
پورتوریکو,1
فلسطین,1
پرتغال,1
پالائو,1
پاراگوئه,1
قطر,0
ریونیون,1
رومانی,1
صربستان,1
روسیه,1
رواندا,1
عربستان سعودی,1
جزایر سلیمان,1
سیشل,1
سودان,1
سوئد,1
سنگاپور,1
سینت هلینا,1
اسلوونیسوالبارد و یان ماین,1
اسلواکی,1
سیرالئون,1
سن مارینو,1
سنگالسومالی,1
سورینام,1
سائوتومه و پرینسیپ,1
السالوادور,1
سنت مارتین هلند,1
سوریه,1
سوازیلند,1
جزایر تورکس و کایکوس,1
چاد,1
سرزمین های قطب جنوب و جنوبی فرانسه,1
توگو,1
تایلند,1
تاجیکستان,1
توکلائو,1
تیمور شرقی,1
ترکمنستان,1
تونس,1
تونگا,1
ترکیه,1
ترینیداد و توباگو,1
تووالو,1
تایوان,1
تانزانیا,1
اوکراین,1
اوگاندا,1
جزایر کوچک حاشیه ای آمریکا,1
ایالات متحده,1
اروگوئه,1
ازبکستان,1
شهر واتیکان,1
سنت وینسنت و گرنادین,1
ونزوئلا,1
بریتانیا,1
بریتانیای کبیر,1
جزایر ویرجین بریتانیا,1
جزایر ویرجین ایالات متحده آمریکا,1
ویتنام,1
وانواتو,1
والیس و فوتونا,1
ساموآ,1
یمن,0
مایوت,1
آفریقای جنوبی,1
زامبیا,0
زیمبابوه,1
ایالات متحده‌ی آمریکا,1
ایالات متحده آمریکا,1
ایالات متحده ی آمریکا,1
آمریکا,1
امریکا,1